title,id,Meta : links,type:type,type:domaine,meta:short,content,thumbnail
Data Publica,23,https://www.wikidata.org/wiki/Q5227203,organisme_prive,juridique,Alliance de cabinets de conseils et d'avocats,"Regroupement des cabinets de conseil CIVITEO, DATACTIVIST, INNOPUBLICA et du cabinet d’avocats PARME Avocats dans le but d’offrir leurs services aux acteurs de la sphère publique confrontés la gestion des données.",organisme_prive.png
Data.Economie.Gouv,28,https://data.economie.gouv.fr/pages/accueil/,outil,public,Portail ministériel de données ouvertes,"Portail des données ouvertes du Ministère de l'Economie, data.economie.gouv.fr, a pour objectif de valoriser les données ouvertes produites par les Ministères économiques et financiers et de faciliter leurs réutilisations par le plus grand nombre afin d’améliorer le service rendu aux usagers et citoyens.",outil.png
Civiteo,31,http://civiteo.fr,organisme_prive,public,Cabinet de conseil,"Co-fondateur de Data Publica, gestion des données publiques des collectivités. Civiteo c'est aussi les nouveaux usages de la data au service des territoires. Il intervient aussi auprès d’entreprises qui produisent des données d’intérêt
général, utilisent de l’open data public, ou prennent part à des expérimentations locales de gouvernance de la donnée.",organisme_prive.png
Datactivist,32,https://datactivist.coop,organisme_prive,public,Coopérative,"Co-fondateur de Data Publica, société coopérative et participative qui a pour mission d'ouvrir les données et de les rendre utiles et utilisées.",organisme_prive.png
Innopublica,33,"http://innopublica.fr

 ",organisme_prive,public,Cabinet de conseil,"Innopublica est co-fondateur de Data Publica, cabinet de conseil indépendant proposant aux organisations un accompagnement sur-mesure afin d’exploiter tout le potentiel des données au service de l’innovation d’intérêt général.",organisme_prive.png
SNCF,40,https://www.wikidata.org/wiki/Q13646,organisme_prive,public,Portail des données ouvertes de la SNCF,la SNCF met à disposition ses données de chaque métier de l’entreprise et des activités de transport de ses voyageurs.,organisme_prive.png
Google France,42,https://www.wikidata.org/wiki/Q95,organisme_prive,autre,Moteur de recherche,Département francophone de l'incontournable moteur de recherche Google.,organisme_prive.png
GRDF,45,https://opendata.grdf.fr/pages/accueil/,organisme_prive,public,Gaz réseau Distribution France,Plateforme open data de GRDF.,organisme_prive.png
Enedis,46,https://fr.m.wikipedia.prg/wiki/Enedis,organisme_prive,public,Enedis gère le réseau d'électricité en France,"C'est une entreprise qui gère les données associées indépendantes des fournisseurs d'énergie chargés de la vente et de la gestion du contrat d'énergie. En 2015, c'était le premier distributeur européen à publier en Open Data des données énergétiques agrégées.",organisme_prive.png
La Poste,47,https://fr.m.wikipedia.org/wiki/La_Poste_,organisme_public,public,Opérateur de services postaux,"Société principalement présente en tant qu'opérateur de services postaux, banque, assurance et opérateur mobile.",organisme_public.png
DataNOVA,54,http://datanova.laposte.fr/,organisme_prive,public,Portail de données ouvertes du groupe La Poste,"DataNOVA est un portail permettant d'explorer, de visualiser, de partager ainsi que de réutiliser des données structurées",organisme_prive.png
OSM,3,https://www.wikidata.org/wiki/Q26996641,organisme_prive,geographique,OpenStreetMap,"Carte ouverte et collaborative du monde fondé en 2004. OSM vise à constituer une base de données géographique libre. Les données sont collectées dans le monde entier sur les routes, voies ferrées, les rivières, les forêts, les bâtiments et bien plus encore. OpenStreetMap permet de voir, modifier et utiliser des données géographiques de n’importe quel endroit dans le monde.",organisme_prive.png
Steve Coast,4,https://www.wikidata.org/wiki/Q56200,personne,geographique,Fondateur d'OpenStreetMap,"Président de la Fondation OSM, co-fondateur de CloudMade et l'un des administrateurs système. Oeuvre pour la cartographie de San Francisco et le maintien d’OpenGeoData.",personne.png
IGN,18,https://www.wikidata.org/wiki/Q1665102,organisme_public,geographique,Plateforme de partage des données publiques du gouvernement Français. Elle est éditée et développée par la mission ETALAB.,L’Institut national de l’information géographique et forestière (IGN) est un établissement public à caractère administratif placé sous la double tutelle des ministères respectivement chargés de l’écologie et de la forêt.,organisme_public.png
Observatoire open data des territoires,27,https://www.observatoire-opendata.fr/,outil,geographique,Observatoire open data des territoires,À l’origine de la création d’une plateforme de collecte semi-automatique de l’ensemble des données publiées par les collectivités territoriales. A développé le site Data.economie.gouv.,outil.png
Wikidata,29,https://www.wikidata.org/wiki/Wikidata:Main_Page,outil,geographique,Base de données ouvertes,"Wikidata sert au stockage central pour les données structurées de ses projets frères Wikimedia, notamment Wikipédia, Wikivoyage, Wiktionary, Wikisource et autres.",outil.png
GéoDataMine,37,https://geodatamine.fr/,outil,geographique,Outil d'Opendata France,Geodatamine est un outil d'extraction de données OSM sous forme de tableur.,outil.png
Adrien Pavie,39,https://pavie.info/,personne,geographique,Entrepreneur en géomatique et développement logiciel,"Adrien Pavie est un géomaticien et développeur de logiciels. Intéressé par les données et logiciels libre, Il est un contributeur important de OSM et a créé le site GeoDataMine.",personne.png
Christian Quest,52,https://www.wikidata.org/wiki/Q26996652,personne,geographique,Porte-Parole d'OSM ,"En plus de son rôle de porte-parole pour OpenStreetMap (OSM-FR), il est aussi conseiller numérique à l'Assemblée Nationale.",personne.png
Etalab,1,https://www.wikidata.org/wiki/Q16635111,organisme_public,public,Agence gouvernementale,"Etalab est une administration publique française qui fait notamment office de directeur des données de l'État et coordonne la conception et la mise en œuvre de sa stratégie dans le domaine de la donnée. Ainsi, Etalab développe et maintient le portail des données ouvertes du gouvernement français data.gouv.fr.",organisme_public.png
Laure Lucchesi,2,https://www.wikidata.org/wiki/Q46026895,personne,public,Directrice d'Etalab,Laure Luccheni dirige Etalab et oeuvre pour mettre l'innovation et le numérique au service de l'intérêt général et de la transformation des organisations.,personne.png
François Fillon,6,https://fr.wikipedia.org/wiki/Fran%C3%A7ois_Fillon,personne,public,Ancien premier ministre,"Principal initiateur du projet Data.Gouv site web lancé en 2011, volonté d’une « politique audacieuse d’ouverture des données publiques » à l’occasion des 4èmes Assises du Numérique. ",personne.png
DINUM,8,https://fr.wikipedia.org/wiki/Direction_interminist%C3%A9rielle_du_num%C3%A9rique,organisme_public,public,Direction interministérielle du numérique,"La direction interministérielle du numérique (DINUM) est en charge de la transformation numérique de l’État au bénéfice du citoyen comme de l’agent, sous tous ses aspects : modernisation du système d’information de l’État, qualité des services publics numériques, création de services innovants pour les citoyens, outils numériques de travail collaboratif pour les agent, etc.",organisme_public.png
Guide Etalab    ,9,https://guides.etalab.gouv.fr/accueil.html,outil,public,Guide de données ouvertes,"Les guides d’Etalab ont pour objectif d'accompagner la montée en qualité, la documentation, l'ouverture et la circulation des ressources tel que des données, codes sources de logiciel ou algorithmes.",outil.png
Gouvernement français ,41,https://www.wikidata.org/wiki/Q1450662,organisme_public,juridique,Gouvernement français,Site officiel du Gouvernement français.,organisme_public.png
Data.Culture.Gouv,50,https://data.culture.gouv.fr/pages/home/,outil,public,Plate-forme de données ouvertes du Minitère de la Culture,Portail de données ouvertes du Ministère de la Culture regroupant différents jeux de données portant sur des sujets gérés par ce Ministère.,outil.png
LiberTIC,62,https://www.wikidata.org/wiki/Q16655636,organisme_prive,public,Association oeuvrant pour l'ouverture des données en France,"Les actions de cette association nantaise se développent sous cinq axes : communication, sensibilisations, formations, animations et productions autour des données ouvertes et de la gouvernance ouverte.",organisme_prive.png
Axelle Lemaire,63,https://www.wikidata.org/wiki/Q18553,personne,juridique,Actrice politique du projet de loi pour une République numérique,Secrétaire d’État chargée du numérique de 2014 à 2017 et responsable du projet de loi pour une République numérique.,personne.png
PGO,65,https://www.wikidata.org/wiki/Q1331152,organisme_public,public, Partenariat pour un Gouvernement Ouvert,Accord international qui engage ses signataires à une plus grande transparence et à l'ouverture des informations aux publics.,organisme_public.png
ANR ,11,https://www.wikidata.org/wiki/Q392500,organisme_public,scientifique,Agence Nationale de la Recherche,Agence Nationale de la Recherche et des mesures concernant la science ouverte. établissement public chargé du financement de la recherche en France. ,organisme_public.png
Comité pour la science ouverte,13,https://www.ouvrirlascience.fr/presentation-du-comite/,organisme_public,scientifique,S'inscrit dans le plan national pour la science ouverte,Le comité pour la science ouverte assure la mise en œuvre d'une politique de soutien à l'ouverture des publications et des données de la recherche. ,organisme_public.png
PNSO,15,https://www.ouvrirlascience.fr/plan-national-pour-la-science-ouverte/,outil,scientifique,"Plan National pour la Science Ouverte, lancé en 2018","Plan national pour que les résultats de la recherche scientifique soient ouverts à tous, gratuitement et sans délai.",outil.png
Data.EnseignementSup-Recherche.gouv,53,https://data.enseignementsup-recherche.gouv.fr/pages/home/,outil,scientifique,"Plate-forme de données ouvertes du Ministère de l'Enseignement Supérieur, de la Recherche et de l'Innovation",Portail de données ouvertes du Ministère de l'Enseignement Supérieur regroupant différents jeux de données sous licence libre sur des sujets gérés par ce Ministère.,organisme_public.png
Samuel Goëta,55,https://www.wikidata.org/wiki/Q48475417,personne,scientifique,Co-fondateur de Datactivist,Sociologue et co-fondateur de la coopérative Datactivist qui se donne pour mission de rendre l’Open Data utile et utilisé.,personne.png
OpenEdition,56,https://fr.wikipedia.org/wiki/OpenEdition,outil,scientifique,Portail de publication en Sciences Humaines et Sociales,Lancé en 2011 et créé par le Centre pour l'édition électronique ouverte. Ce portail comprend quatre plateformes : revues.org ; calenda ; Hypothèses.org et OpenEdition Books. Elle travaille en faveur de l'accès ouvert aux résultats de la recherche scientifique.,outil.png
Marin Dacos,61,https://www.wikidata.org/wiki/Q24939418,personne,scientifique,Ingénieur et conseiller scientifique,Marin Dacos est conseiller scientifique pour la science ouverte et directeur général de la recherche au Ministère de l'enseignement supérieur. Il est la fondateur et l'ancien directeur d'OpenEdition Center.,personne.png
Ghislaine Chartron,64,https://www.wikidata.org/wiki/Q3104899,personne,scientifique,Professeur en SIC,Elle anima le groupe de travail OpenAccess du Gouvernement Français et est l'auteur de plusieurs publications sur les questions d'Open Access et de Sciences.,personne.png
Zenodo,66,https://www.wikidata.org/wiki/Q22661177,outil,scientifique,"Répertoire de travaux de recherches, de logiciels et de données","Anciennement nommé OpenAIRE, ce dépôt créé par CERN en 2013, permet aux chercheurs de fournir leurs données et ainsi de répondre aux exigences de la Science Ouverte.",outil.png
Data.Gouv,5,https://www.wikidata.org/wiki/Q3016893,outil,public,Plateforme de partage des données publiques du gouvernement Français,"Data.Gouv est une plateforme qui permet d'avoir un accès libre et une réutilisation gratuite d'un très grand nombre de données publiques. L'ouverture de ce portail interministériel unique répond à la volonté de renforcer la transparence de l'action de l'Etat, comme des collectivités locales auprès des citoyens. Ce portail a pour ambition d'être un vecteur d'innovation et de développement économique, à destination de différents publics ; universitaires, chercheurs web ou bien entrepreneurs.",outil.png
Udata,10,https://www.wikidata.org/wiki/Q99493159,outil,public,Logiciel libre d'hébergement,Logiciel libre d'hébergement qui accueille la plateforme Data.Gouv.,outil.png
Logica,16,https://fr.wikipedia.org/wiki/Logica,organisme_prive,autre,Entreprise de services informatiques,Organisme de développement de la première version de Data.gouv. Logica a été racheté en 2012 par le groupe CGI.,organisme_prive.png
Data.Education.Gouv,19,https://data.education.gouv.fr/pages/accueil/,outil,public,Plateforme Opendata de l'éducation nationale,Data.Education.Gouv met à disposition des jeux de données publiques de l'éducation nationale.,outil.png
Opendata France,20,https://www.wikidata.org/wiki/Q18414933,organisme_public,public,Association de promotion pour l'ouverture des données,OpenDataFrance collecte et produit des ressources méthodologiques utiles aux collectivités qui veulent s'engager et progresser dans une démarche d'ouverture des données.,organisme_public.png
Ville-Data,44,http://ville-data.com/,outil,public,Portail de données ouvertes par ville,Site web utilisant les données publiques de ville de France pour les utiliser sous forme de contenu rédactionnel pour décrire ville par ville des informations qui sortent de l'ordinaire.,outil.png
OpenDataSoft,49,https://www.wikidata.org/wiki/Q20816619,outil,public,Plate-forme de partage et de gestion des données,"Plate-forme d'ouverture, de partage et de réutilisation de données pour les organisations publiques et privées.",organisme_prive.png
ANFR,51,https://www.wikidata.org/wiki/Q2826678,outil,public,Agence Nationale des Fréquences ,"L'ANFR gère l'ensemble des fréquences radioélectriques en France. Elle possède un portail qui vise à recenser l'ensemble des données publiées par l'Agence nationale des fréquences sous licence libre. Il permet à toute la communauté d'usagers (particuliers, radio-amateurs, start-ups, collectivités publiques…) d'accéder aux données de référence sur les fréquences en France.",outil.png
Natasha Noy,57,https://www.wikidata.org/wiki/Q52174287,personne,scientifique,Chercheuse sur l'Intelligence Artificielle chez Google,Natasha Noy est la porteuse du projet Google Data Search en 2018.,personne.png
Google Dataset Search,58,https://www.wikidata.org/wiki/Q56512593,outil,autre,Moteur de recherche de données ouvertes proposé par Google,Google Data Search (ou Dataset Search) est un outil proposé par la firme Google. Il a pour but d'ouvrir les recherches scientifiques pour les chercheurs et les journalistes.,outil.png
